SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AHLUCONT, EQ, 06-Feb-2026, 868.60, 860.00, 873.15, 844.00, 858.00, 858.60, 852.62, 52852, 450.63, 3276, 32271, 61.06
AIAENG, EQ, 06-Feb-2026, 3967.00, 3962.00, 3962.10, 3856.10, 3889.00, 3882.70, 3891.39, 24459, 951.80, 8060, 11341, 46.37
AIIL, EQ, 06-Feb-2026, 499.40, 495.00, 510.00, 487.25, 504.00, 505.20, 498.81, 272723, 1360.37, 13603, 130300, 47.78
AILIMITED, SM, 06-Feb-2026, 25.00, 24.10, 24.10, 23.75, 23.75, 23.75, 23.93, 3000, 0.72, 2, 3000, 100.00
AIMTRON, ST, 06-Feb-2026, 850.65, 849.00, 852.00, 826.00, 840.00, 842.50, 839.28, 7800, 65.46, 39, 6800, 87.18
AIRAN, EQ, 06-Feb-2026, 14.85, 14.59, 15.00, 14.59, 15.00, 14.87, 14.78, 27684, 4.09, 266, 16210, 58.55
AIROLAM, EQ, 06-Feb-2026, 91.51, 91.06, 95.10, 89.20, 95.00, 94.31, 92.09, 2120, 1.95, 120, 1289, 60.80
AISL, SM, 06-Feb-2026, 75.60, 72.60, 72.60, 72.60, 72.60, 72.60, 72.60, 3000, 2.18, 3, 3000, 100.00
AJANTPHARM, EQ, 06-Feb-2026, 2817.30, 2828.30, 2866.00, 2788.00, 2831.50, 2852.70, 2831.39, 107572, 3045.79, 13130, 71477, 66.45
AJAXENGG, EQ, 06-Feb-2026, 498.75, 498.75, 503.90, 489.70, 501.95, 499.70, 497.26, 68844, 342.33, 2917, 39105, 56.80
AJMERA, EQ, 06-Feb-2026, 148.40, 147.77, 147.77, 143.92, 144.50, 144.88, 145.07, 177549, 257.57, 2035, 114229, 64.34
AJOONI, EQ, 06-Feb-2026, 5.15, 5.15, 5.43, 4.90, 4.95, 4.93, 5.20, 1806720, 93.98, 2821, 821016, 45.44
